pub,link,madeCSV
100 Days In Appalachia,#/publication/100-days-in-appalachia,1
3288 Review,#/publication/3288-review,1
425 Business,#/publication/425-business,1
435 Magazine,#/publication/435-magazine,1
5280,#/publication/5280,1
7x7,#/publication/7x7,1
A.v. Club,#/publication/av-club,1
A&e Real Crime Blog,#/publication/ae-real-crime-blog,1
Aarp Bulletin,#/publication/aarp-bulletin,1
Aarp En Español (spanish-language Website For Aarp).,#/publication/aarp-en-espaol-spanishlanguage-website-for-aarp,1
Acclaim Magazine,#/publication/acclaim-magazine,1
Acres Usa,#/publication/acres-usa,1
Adbusters,#/publication/adbusters,1
Additude,#/publication/additude,1
Adoption.com,#/publication/adoptioncom,1
Adrain Telegram,#/publication/adrain-telegram,1
Adventure Cyclist Magazine,#/publication/adventure-cyclist-magazine,1
Adventure Kayak,#/publication/adventure-kayak,1
"Advicesister Beauty, Fashion & Lifestyle",#/publication/advicesister-beauty-fashion--lifestyle,1
Adweek,#/publication/adweek,1
Aeon,#/publication/aeon,1
Afar,#/publication/afar,1
Africa Renewal (Un),#/publication/africa-renewal-un,1
Afropunk,#/publication/afropunk,1
Agdaily,#/publication/agdaily,1
Airbnb Mag,#/publication/airbnb-mag,1
Al Jazeera America,#/publication/al-jazeera-america,1
Al Jazeera English,#/publication/al-jazeera-english,1
Al-jazeera English,#/publication/aljazeera-english,1
Alaska Airlines Magazine,#/publication/alaska-airlines-magazine,1
Alive 65,#/publication/alive-65,1
All Black Media,#/publication/all-black-media,1
Allaboutcircuits,#/publication/allaboutcircuits,1
Allure,#/publication/allure,1
Alma,#/publication/alma,1
Almost Fearless,#/publication/almost-fearless,1
Alpinist Magazine,#/publication/alpinist-magazine,1
Alternet,#/publication/alternet,1
Alternet (2nd Rights),#/publication/alternet-2nd-rights,1
Ambassador (National Italian American Foundation),#/publication/ambassador-national-italian-american-foundation,1
America Magazine,#/publication/america-magazine,1
America's Quarterly,#/publication/americas-quarterly,1
American Angler,#/publication/american-angler,1
American Banker,#/publication/american-banker,1
American City & County,#/publication/american-city--county,1
American Educator,#/publication/american-educator,1
American Forests,#/publication/american-forests,1
American Renaissance,#/publication/american-renaissance,1
American Teacher Magazine,#/publication/american-teacher-magazine,1
American Theatre,#/publication/american-theatre,1
American Way,#/publication/american-way,1
Amny,#/publication/amny,1
Amongmen,#/publication/amongmen,1
Animal New York,#/publication/animal-new-york,1
Aol Travel,#/publication/aol-travel,1
April Magazine,#/publication/april-magazine,1
Aps News,#/publication/aps-news,1
Arc Digital,#/publication/arc-digital,1
Archdaily,#/publication/archdaily,1
Archer Magazine,#/publication/archer-magazine,1
Archinect,#/publication/archinect,1
Architect Magazine,#/publication/architect-magazine,1
Architectural Digest,#/publication/architectural-digest,1
Architectural Record,#/publication/architectural-record,1
Are We Europe,#/publication/are-we-europe,1
Arena Music,#/publication/arena-music,1
Argot Magazine,#/publication/argot-magazine,1
Arkansas Life Magazine,#/publication/arkansas-life-magazine,1
Armenian Weekly,#/publication/armenian-weekly,1
Ars Technica,#/publication/ars-technica,1
Art For Ourselves,#/publication/art-for-ourselves,1
Art In America,#/publication/art-in-america,1
Art Jewelry Forum,#/publication/art-jewelry-forum,1
Art Papers,#/publication/art-papers,1
Art Press (france),#/publication/art-press-france,1
Art Review,#/publication/art-review,1
Art21 Magazine,#/publication/art21-magazine,1
Arte Fuse,#/publication/arte-fuse,1
Artforum,#/publication/artforum,1
Artnews,#/publication/artnews,1
Artreview,#/publication/artreview,1
Arts & Letters,#/publication/arts--letters,1
Artslant,#/publication/artslant,1
Artsy,#/publication/artsy,1
Artus,#/publication/artus,1
Asia Times Online,#/publication/asia-times-online,1
Askmen.com,#/publication/askmencom,1
Astronomy Magazine,#/publication/astronomy-magazine,1
Asweatlife,#/publication/asweatlife,1
At Large Magazine,#/publication/at-large-magazine,1
Athenainsight,#/publication/athenainsight,1
Atlanta Blackstar,#/publication/atlanta-blackstar,1
Atlanta Magazine,#/publication/atlanta-magazine,1
Atlantic Books Today,#/publication/atlantic-books-today,1
Atlas Obscura,#/publication/atlas-obscura,1
Audiofile Magazine,#/publication/audiofile-magazine,1
Audubon Magazine,#/publication/audubon-magazine,1
Autostraddle,#/publication/autostraddle,1
Avalon Magazine (canada),#/publication/avalon-magazine-canada,1
Avianca,#/publication/avianca,1
Awesometotallyawesome,#/publication/awesometotallyawesome,1
Awp,#/publication/awp,1
Babble,#/publication/babble,1
Babe,#/publication/babe,1
Baby Chick,#/publication/baby-chick,1
Backchannel,#/publication/backchannel,1
Backpacker Magazine,#/publication/backpacker-magazine,1
Backstage,#/publication/backstage,1
Bali Bell,#/publication/bali-bell,1
Baltimore Review,#/publication/baltimore-review,1
Baltimore's Child,#/publication/baltimores-child,1
Barista Magazine,#/publication/barista-magazine,1
Bass Angler Magazine,#/publication/bass-angler-magazine,1
Bay Nature,#/publication/bay-nature,1
Bay Street Bull,#/publication/bay-street-bull,1
Bbc Capital,#/publication/bbc-capital,1
Bbc Culture,#/publication/bbc-culture,1
Bbc Future,#/publication/bbc-future,1
Bbc Travel,#/publication/bbc-travel,1
Bc Business,#/publication/bc-business,1
Be Moxie,#/publication/be-moxie,1
Bedford + Bowery,#/publication/bedford--bowery,1
Bedsider,#/publication/bedsider,1
Belt Magazine,#/publication/belt-magazine,1
Best Women's Travel Writing,#/publication/best-womens-travel-writing,1
Better Humans (Medium),#/publication/better-humans-medium,1
Bevel Code,#/publication/bevel-code,1
Beverage Industry,#/publication/beverage-industry,1
Beyond,#/publication/beyond,1
Beyond Myth And Jargon,#/publication/beyond-myth-and-jargon,1
Billboard,#/publication/billboard,1
Bioscience,#/publication/bioscience,1
Biospace,#/publication/biospace,1
Biotechniques,#/publication/biotechniques,1
Bitch,#/publication/bitch,1
Black Women To Support At Sxsw,#/publication/black-women-to-support-at-sxsw,1
Black Youth Project,#/publication/black-youth-project,1
Blackbook,#/publication/blackbook,1
Blasting News Us,#/publication/blasting-news-us,1
Blavity,#/publication/blavity,1
Bloomberg News,#/publication/bloomberg-news,1
Blue Ridge Country Magazine,#/publication/blue-ridge-country-magazine,1
Boardwalk Savers,#/publication/boardwalk-savers,1
Bodybuilding.com,#/publication/bodybuildingcom,1
Boiler Room,#/publication/boiler-room,1
Boing Boing,#/publication/boing-boing,1
Bomb Magazine,#/publication/bomb-magazine,1
Bonappetit.com,#/publication/bonappetitcom,1
Book Riot,#/publication/book-riot,1
Bookforum,#/publication/bookforum,1
Books & Culture,#/publication/books--culture,1
Bookslut,#/publication/bookslut,1
Boom: A Journal Of California,#/publication/boom-a-journal-of-california,1
Boston Globe,#/publication/boston-globe,1
Boston Globe Magazine,#/publication/boston-globe-magazine,1
Boston Herald,#/publication/boston-herald,1
Boston Magazine,#/publication/boston-magazine,1
Boston Phoenix,#/publication/boston-phoenix,1
Boston Review,#/publication/boston-review,1
Boulder Weekly,#/publication/boulder-weekly,1
Box24 Casino Review,#/publication/box24-casino-review,1
Boys' Life Magazine,#/publication/boys-life-magazine,1
Brain Mill Press - Voices,#/publication/brain-mill-press--voices,1
Brain World,#/publication/brain-world,1
Brand Quarterly,#/publication/brand-quarterly,1
Brickunderground,#/publication/brickunderground,1
Bright,#/publication/bright,1
Bright Wall/dark Room,#/publication/bright-walldark-room,1
Brit + Co,#/publication/brit--co,1
Broadly,#/publication/broadly,1
Broadly (vice),#/publication/broadly-vice,1
Brobible,#/publication/brobible,1
Broken Pencil,#/publication/broken-pencil,1
Brooklyn Exposed,#/publication/brooklyn-exposed,1
Brooklyn Magazine,#/publication/brooklyn-magazine,1
Brooklyn Rail,#/publication/brooklyn-rail,1
Brown Alumni Magazine,#/publication/brown-alumni-magazine,1
Bu Today,#/publication/bu-today,1
Budget Travel Magazine,#/publication/budget-travel-magazine,1
Bullett,#/publication/bullett,1
Burnaway.org,#/publication/burnawayorg,1
Business Insurance,#/publication/business-insurance,1
Businessweek,#/publication/businessweek,1
Bust,#/publication/bust,1
Bustle,#/publication/bustle,1
Buzzfeed,#/publication/buzzfeed,1
Buzzfeed India,#/publication/buzzfeed-india,1
Byrdie,#/publication/byrdie,1
C Magazine,#/publication/c-magazine,1
C-ville Weekly,#/publication/cville-weekly,1
Cafe.com,#/publication/cafecom,1
Cafemom The Stir,#/publication/cafemom-the-stir,1
California Fly Fisher,#/publication/california-fly-fisher,1
California Magazine,#/publication/california-magazine,1
California Sunday Magazine,#/publication/california-sunday-magazine,1
Calvert Journal,#/publication/calvert-journal,1
Canadaland,#/publication/canadaland,1
Canadian Art,#/publication/canadian-art,1
Canadian Living,#/publication/canadian-living,1
Cancer Discovery,#/publication/cancer-discovery,1
Capital New York,#/publication/capital-new-york,1
Capper's,#/publication/cappers,1
Caravanistan,#/publication/caravanistan,1
Carolina Parent,#/publication/carolina-parent,1
Casinopedia,#/publication/casinopedia,1
Cassius,#/publication/cassius,1
Catapult,#/publication/catapult,1
Catholic Review,#/publication/catholic-review,1
Catster,#/publication/catster,1
Ceilings And Standards,#/publication/ceilings-and-standards,1
Celebrations.com,#/publication/celebrationscom,1
Cengage/gale,#/publication/cengagegale,1
Center For Digital Ethics,#/publication/center-for-digital-ethics,1
Chamber Music America,#/publication/chamber-music-america,1
Chap Magazine,#/publication/chap-magazine,1
Charlottesville Family,#/publication/charlottesville-family,1
Cheapism.com,#/publication/cheapismcom,1
Cheese Connoisseur,#/publication/cheese-connoisseur,1
Chefsfeed,#/publication/chefsfeed,1
Chicago Magazine,#/publication/chicago-magazine,1
Chicago Reader,#/publication/chicago-reader,1
Chicago Tribune,#/publication/chicago-tribune,1
Chicago Tribune Printers Row Literary Supplement,#/publication/chicago-tribune-printers-row-literary-supplement,1
Chickpea Magazine,#/publication/chickpea-magazine,1
Chowhound,#/publication/chowhound,1
Christ And Pop Culture Magazine,#/publication/christ-and-pop-culture-magazine,1
Christian Science Monitor,#/publication/christian-science-monitor,1
Christianity Today,#/publication/christianity-today,1
Chronicle Of Higher Education,#/publication/chronicle-of-higher-education,1
Cicada Magazine,#/publication/cicada-magazine,1
Cim Magazine,#/publication/cim-magazine,1
Citiscope,#/publication/citiscope,1
City Limits,#/publication/city-limits,1
City Of Hype,#/publication/city-of-hype,1
City Pages,#/publication/city-pages,1
Citylab,#/publication/citylab,1
Civil Eats,#/publication/civil-eats,1
Classical Magazine,#/publication/classical-magazine,1
Cleis Press,#/publication/cleis-press,1
Cleveland Plain Dealer,#/publication/cleveland-plain-dealer,1
Climbing,#/publication/climbing,1
Climbing Business Journal,#/publication/climbing-business-journal,1
Cloudtweaks.com,#/publication/cloudtweakscom,1
Cluster Magazine,#/publication/cluster-magazine,1
Cnbc.com,#/publication/cnbccom,1
Cnn,#/publication/cnn,1
Co.design,#/publication/codesign,1
Colors Berlin,#/publication/colors-berlin,1
Columbia Journalism Review,#/publication/columbia-journalism-review,1
Columbia Magazine,#/publication/columbia-magazine,1
Communication World Magazine,#/publication/communication-world-magazine,1
Compass Cultura,#/publication/compass-cultura,1
Complex,#/publication/complex,1
Conde Nast Traveler,#/publication/conde-nast-traveler,1
Connecticut Bride,#/publication/connecticut-bride,1
Conscious Community Magazine,#/publication/conscious-community-magazine,1
Consequence Of Sound,#/publication/consequence-of-sound,1
Constant Content,#/publication/constant-content,1
Consumers Digest,#/publication/consumers-digest,1
Consumersearch.com,#/publication/consumersearchcom,1
Contently / Trulia,#/publication/contently--trulia,1
Conversation,#/publication/conversation,1
Convivium,#/publication/convivium,1
Coolhunting,#/publication/coolhunting,1
Corporatestays,#/publication/corporatestays,1
Cosmopolitan,#/publication/cosmopolitan,1
Cosmopolitan Uk,#/publication/cosmopolitan-uk,1
Cosmos Magazine,#/publication/cosmos-magazine,1
Cowboys & Indians,#/publication/cowboys--indians,1
Crack,#/publication/crack,1
Cracked,#/publication/cracked,1
Craft Beer Magazine,#/publication/craft-beer-magazine,1
Craft Industry Alliance,#/publication/craft-industry-alliance,1
Crain's Chicago Business,#/publication/crains-chicago-business,1
Crain's Cleveland Business,#/publication/crains-cleveland-business,1
Crain's New York,#/publication/crains-new-york,1
Creative Loafing Atlanta,#/publication/creative-loafing-atlanta,1
Creative Screenwriting,#/publication/creative-screenwriting,1
Creators News,#/publication/creators-news,1
Cricket Media,#/publication/cricket-media,1
Crixeo,#/publication/crixeo,1
Crosscut,#/publication/crosscut,1
Crossed Genres,#/publication/crossed-genres,1
Csm Modern Parenting,#/publication/csm-modern-parenting,1
Cuepoint,#/publication/cuepoint,1
Culture Trip,#/publication/culture-trip,1
Culturess,#/publication/culturess,1
Curbed,#/publication/curbed,1
Curiosity,#/publication/curiosity,1
Current Affairs,#/publication/current-affairs,1
Curve Magazine,#/publication/curve-magazine,1
Cut.com,#/publication/cutcom,1
Cut.com,#/publication/cutcom,1
D Magazine,#/publication/d-magazine,1
Daily Detroit,#/publication/daily-detroit,1
Daily Mail,#/publication/daily-mail,1
Daily Serving,#/publication/daily-serving,1
Daily Telegraph,#/publication/daily-telegraph,1
Daily Xtra,#/publication/daily-xtra,1
Daily Yonder,#/publication/daily-yonder,1
Dallas Voice,#/publication/dallas-voice,1
Dame Magazine,#/publication/dame-magazine,1
Dance International,#/publication/dance-international,1
Dance Retailer News,#/publication/dance-retailer-news,1
Darling Magazine,#/publication/darling-magazine,1
Dazed,#/publication/dazed,1
Dc Inno,#/publication/dc-inno,1
De Magazine (or Design Exchange Magazine),#/publication/de-magazine-or-design-exchange-magazine,1
Deadspin,#/publication/deadspin,1
Debt.com,#/publication/debtcom,1
Deep South Magazine,#/publication/deep-south-magazine,1
Departures,#/publication/departures,1
Desert Companion,#/publication/desert-companion,1
Detroit Metro Times,#/publication/detroit-metro-times,1
Devex,#/publication/devex,1
Differencebetween.net,#/publication/differencebetweennet,1
Difford's Guide,#/publication/diffords-guide,1
Dig Boston,#/publication/dig-boston,1
Digital Spy,#/publication/digital-spy,1
Dirt Rag Magazine,#/publication/dirt-rag-magazine,1
Dirt Rag Magazine,#/publication/dirt-rag-magazine,1
Discover,#/publication/discover,1
Disfunkshion Magazine,#/publication/disfunkshion-magazine,1
Distinctly Montana,#/publication/distinctly-montana,1
Diva,#/publication/diva,1
Diversity Woman,#/publication/diversity-woman,1
Diy Magazine,#/publication/diy-magazine,1
Dj Tech Tools,#/publication/dj-tech-tools,1
Djed Press,#/publication/djed-press,1
Dnainfo.com,#/publication/dnainfocom,1
Documented,#/publication/documented,1
Dogster.com,#/publication/dogstercom,1
Domino,#/publication/domino,1
Domus (europe),#/publication/domus-europe,1
Dorado,#/publication/dorado,1
Downtown Neighbors,#/publication/downtown-neighbors,1
Draft Magazine,#/publication/draft-magazine,1
Dreamchrono,#/publication/dreamchrono,1
Dujour,#/publication/dujour,1
Dumpling Magazine,#/publication/dumpling-magazine,1
"Dungeon & Dragons Magazine (""wizards Of The Coast"")",#/publication/dungeon--dragons-magazine-wizards-of-the-coast,1
Dwell,#/publication/dwell,1
Earth Island Journal,#/publication/earth-island-journal,1
Earther,#/publication/earther,1
East Bay Express,#/publication/east-bay-express,1
Eater,#/publication/eater,1
Eater Atlanta,#/publication/eater-atlanta,1
Eating Well,#/publication/eating-well,1
Ebony,#/publication/ebony,1
Ecowatch,#/publication/ecowatch,1
Edible D.c.,#/publication/edible-dc,1
Efniks,#/publication/efniks,1
El Español,#/publication/el-espaol,1
El Pais,#/publication/el-pais,1
El Universo,#/publication/el-universo,1
Electric Literature,#/publication/electric-literature,1
Electronic Intifada,#/publication/electronic-intifada,1
Electronic Sound,#/publication/electronic-sound,1
Elephant,#/publication/elephant,1
Elle,#/publication/elle,1
Elle India,#/publication/elle-india,1
Emusic,#/publication/emusic,1
Encore Stages,#/publication/encore-stages,1
Endless Vacation,#/publication/endless-vacation,1
Engadget,#/publication/engadget,1
Engineering News-record,#/publication/engineering-newsrecord,1
Ensia,#/publication/ensia,1
Entrepreneur Magazine,#/publication/entrepreneur-magazine,1
Equality For Her,#/publication/equality-for-her,1
Erosion Control Magazine,#/publication/erosion-control-magazine,1
Esglobal,#/publication/esglobal,1
Esme,#/publication/esme,1
Espn Esports,#/publication/espn-esports,1
Espn The Magazine,#/publication/espn-the-magazine,1
Esquire,#/publication/esquire,1
Esquire (online),#/publication/esquire-online,1
Event,#/publication/event,1
Everfest,#/publication/everfest,1
Everyday Feminism,#/publication/everyday-feminism,1
Everyday Health,#/publication/everyday-health,1
Excelle Sports,#/publication/excelle-sports,1
Exclaim,#/publication/exclaim,1
Exeunt Magazine,#/publication/exeunt-magazine,1
Experience Life,#/publication/experience-life,1
Extra Crispy,#/publication/extra-crispy,1
Fact Magazine,#/publication/fact-magazine,1
Family Circle,#/publication/family-circle,1
Family Fun Canada,#/publication/family-fun-canada,1
Fanbread,#/publication/fanbread,1
Fansided,#/publication/fansided,1
Far And Wide,#/publication/far-and-wide,1
Fashion Unfiltered,#/publication/fashion-unfiltered,1
Fashionista,#/publication/fashionista,1
Fast Company,#/publication/fast-company,1
Fastcompany.com,#/publication/fastcompanycom,1
Fatherly,#/publication/fatherly,1
Feedsyndicate,#/publication/feedsyndicate,1
Femsplain,#/publication/femsplain,1
Fender,#/publication/fender,1
Fierce By Mitú,#/publication/fierce-by-mit,1
Fiftyisthenewfifty.com,#/publication/fiftyisthenewfiftycom,1
Fightland,#/publication/fightland,1
Film Comment,#/publication/film-comment,1
Film School Rejects,#/publication/film-school-rejects,1
Filter,#/publication/filter,1
Filter Magazine,#/publication/filter-magazine,1
Financial Post,#/publication/financial-post,1
Fine Gardening,#/publication/fine-gardening,1
Fitness,#/publication/fitness,1
Fivethirtyeight,#/publication/fivethirtyeight,1
Flamingo,#/publication/flamingo,1
Flare,#/publication/flare,1
Flash Art,#/publication/flash-art,1
Flaunt Magazine,#/publication/flaunt-magazine,1
Flood Magazine,#/publication/flood-magazine,1
Florida Bulldog,#/publication/florida-bulldog,1
Fluentu,#/publication/fluentu,1
Focus Middle Tennessee,#/publication/focus-middle-tennessee,1
Fodor's,#/publication/fodors,1
Folks,#/publication/folks,1
Food 52,#/publication/food-52,1
Food Republic,#/publication/food-republic,1
Foodbeast,#/publication/foodbeast,1
For Her By Aleteia,#/publication/for-her-by-aleteia,1
Forbes,#/publication/forbes,1
Foreign Policy,#/publication/foreign-policy,1
Forge Literary Magazine,#/publication/forge-literary-magazine,1
Fortune.com,#/publication/fortunecom,1
Foss Force,#/publication/foss-force,1
Fox News - Travel,#/publication/fox-news--travel,1
Free Speech Radio News,#/publication/free-speech-radio-news,1
Freedom With Writing,#/publication/freedom-with-writing,1
Freelance Writing (Ezine),#/publication/freelance-writing-ezine,1
Freemuse.org/global Voices,#/publication/freemuseorgglobal-voices,1
Frieze,#/publication/frieze,1
Fugue,#/publication/fugue,1
Full Stop,#/publication/full-stop,1
Funny Times,#/publication/funny-times,1
Fuse.tv,#/publication/fusetv,1
Fusion,#/publication/fusion,1
Gal-dem,#/publication/galdem,1
Galore,#/publication/galore,1
Gamut,#/publication/gamut,1
Garage (Vice),#/publication/garage-vice,1
Gawker,#/publication/gawker,1
Geek & Sundry,#/publication/geek--sundry,1
Geist Magazine,#/publication/geist-magazine,1
Getabstract,#/publication/getabstract,1
Girlboss,#/publication/girlboss,1
Girls' Life,#/publication/girls-life,1
Gizmodo,#/publication/gizmodo,1
Glamour,#/publication/glamour,1
Global Canadian,#/publication/global-canadian,1
Global Comment,#/publication/global-comment,1
Global Community News,#/publication/global-community-news,1
Global Post,#/publication/global-post,1
Globalo,#/publication/globalo,1
Globein Blog,#/publication/globein-blog,1
Gloholiday,#/publication/gloholiday,1
Gluten Free Living,#/publication/gluten-free-living,1
Gnome Magazine,#/publication/gnome-magazine,1
Go Magazine,#/publication/go-magazine,1
Go World Travel,#/publication/go-world-travel,1
Good Housekeeping,#/publication/good-housekeeping,1
Good Magazine,#/publication/good-magazine,1
"Good Magazine, Project Literacy Series",#/publication/good-magazine-project-literacy-series,1
Gothamist,#/publication/gothamist,1
Gq,#/publication/gq,1
Gradesaver,#/publication/gradesaver,1
Gradient,#/publication/gradient,1
Grammarly Blog,#/publication/grammarly-blog,1
Granite Media,#/publication/granite-media,1
Granta,#/publication/granta,1
Grantland,#/publication/grantland,1
Greatist,#/publication/greatist,1
Green Parent,#/publication/green-parent,1
Greentech Media,#/publication/greentech-media,1
Grist,#/publication/grist,1
Groknation,#/publication/groknation,1
Guardian Labs,#/publication/guardian-labs,1
Guernica,#/publication/guernica,1
Guideposts.org,#/publication/guidepostsorg,1
Gulf Coast Magazine,#/publication/gulf-coast-magazine,1
Guts Canadian Feminist Magazine,#/publication/guts-canadian-feminist-magazine,1
Hakai Magazine,#/publication/hakai-magazine,1
Happenmag.com,#/publication/happenmagcom,1
Hardcore Gaming 101,#/publication/hardcore-gaming-101,1
Harlem Bee,#/publication/harlem-bee,1
Harper's,#/publication/harpers,1
Hartford Courant,#/publication/hartford-courant,1
Harvard Magazine,#/publication/harvard-magazine,1
Hawaii Building Industry,#/publication/hawaii-building-industry,1
Hayden's Ferry Review,#/publication/haydens-ferry-review,1
Hazlitt,#/publication/hazlitt,1
Headspace,#/publication/headspace,1
Headstuff.org,#/publication/headstufforg,1
